,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.81,69,51,16.82,light rain
1,Kavieng,PG,-2.5744,150.7967,81.68,77,100,13.94,light rain
2,Kaitangata,NZ,-46.2817,169.8464,47.8,72,100,5.39,overcast clouds
3,Taltal,CL,-25.4,-70.4833,67.23,66,11,5.3,few clouds
4,Henties Bay,NA,-22.116,14.2845,63.57,81,0,10.36,clear sky
5,Bethel,US,41.3712,-73.414,62.69,80,100,10.36,overcast clouds
6,Roald,NO,62.5833,6.1333,37.54,70,0,4.61,clear sky
7,Yellowknife,CA,62.456,-114.3525,16.41,80,100,10.36,light snow
8,Castro,BR,-24.7911,-50.0119,58.15,98,99,8.75,overcast clouds
9,Hobart,AU,-42.8794,147.3294,55.26,73,100,12.66,overcast clouds
10,Kutum,SD,14.2,24.6667,79.43,8,5,9.57,clear sky
11,Albany,US,42.6001,-73.9662,57.31,81,88,1.99,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,64.8,71,49,9.71,scattered clouds
13,Atuona,PF,-9.8,-139.0333,78.55,73,15,9.28,few clouds
14,Cherskiy,RU,68.75,161.3,-15.16,100,99,4.61,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,64.27,74,39,5.01,scattered clouds
16,Bredasdorp,ZA,-34.5322,20.0403,62.73,61,87,7.05,overcast clouds
17,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,10.36,scattered clouds
18,Pisco,PE,-13.7,-76.2167,73.45,60,0,6.91,clear sky
19,Calama,CL,-22.4667,-68.9333,73.89,14,0,18.41,clear sky
20,Souillac,MU,-20.5167,57.5167,79.18,78,75,16.11,broken clouds
21,Saint George,US,37.1041,-113.5841,70.63,31,0,3.44,clear sky
22,Vaini,TO,-21.2,-175.2,80.71,77,100,9.46,light rain
23,New Norfolk,AU,-42.7826,147.0587,54.9,66,69,1.01,broken clouds
24,Qeshm,IR,26.9581,56.2719,84.07,58,0,9.24,clear sky
25,Busselton,AU,-33.65,115.3333,70.16,69,1,10.36,clear sky
26,Mar Del Plata,AR,-38.0023,-57.5575,62.62,78,40,11.99,scattered clouds
27,Mehamn,NO,71.0357,27.8492,26.51,73,100,11.07,light snow
28,Longyearbyen,SJ,78.2186,15.6401,10.24,85,75,8.05,light snow
29,Khatanga,RU,71.9667,102.5,-2.81,99,48,5.14,scattered clouds
30,Half Moon Bay,US,37.4636,-122.4286,61.14,77,75,11.5,mist
31,East London,ZA,-33.0153,27.9116,67.14,94,75,5.75,broken clouds
32,Sistranda,NO,63.7256,8.834,33.76,60,100,13.47,overcast clouds
33,Dingle,PH,10.9995,122.6711,76.46,89,72,6.85,broken clouds
34,Dashitou,CN,43.3067,128.5114,26.51,47,9,6.62,clear sky
35,Esperance,AU,-33.8667,121.9,64.24,79,100,19.06,overcast clouds
36,Norrtalje,SE,59.758,18.705,32.18,86,100,1.25,overcast clouds
37,Bandarbeyla,SO,9.4942,50.8122,80.96,81,13,11.54,few clouds
38,High Level,CA,58.5169,-117.136,28.51,93,75,8.05,light snow
39,Totma,RU,59.9747,42.7642,19.18,93,94,4.56,overcast clouds
40,Ushuaia,AR,-54.8,-68.3,51.42,62,40,11.5,scattered clouds
41,Torbay,CA,47.6666,-52.7314,41.88,70,75,13.8,broken clouds
42,Dunedin,NZ,-45.8742,170.5036,52.81,62,100,10.0,overcast clouds
43,Rorvik,NO,64.8621,11.2373,33.91,69,40,9.22,scattered clouds
44,Komsomolskiy,UZ,40.4272,71.7189,52.52,66,0,2.3,clear sky
45,Bengkulu,ID,-3.8004,102.2655,76.28,81,92,4.5,overcast clouds
46,Mahebourg,MU,-20.4081,57.7,79.09,78,75,16.11,broken clouds
47,Kapaa,US,22.0752,-159.319,74.19,91,75,12.66,broken clouds
48,Upernavik,GL,72.7868,-56.1549,17.94,94,100,11.48,overcast clouds
49,Clyde River,CA,70.4692,-68.5914,3.43,78,0,6.91,clear sky
50,Lebu,CL,-37.6167,-73.65,56.95,63,6,22.59,clear sky
51,Avarua,CK,-21.2078,-159.775,73.45,100,12,3.44,few clouds
52,Nuuk,GL,64.1835,-51.7216,32.88,80,90,1.99,overcast clouds
53,Pevek,RU,69.7008,170.3133,-24.72,99,89,5.19,overcast clouds
54,Mataura,NZ,-46.1927,168.8643,44.91,88,100,1.88,overcast clouds
55,Laguna,US,38.421,-121.4238,61.02,69,0,11.5,clear sky
56,Leh,IN,34.1667,77.5833,23.31,53,1,6.08,clear sky
57,Victoria,HK,22.2855,114.1577,76.17,84,43,15.99,scattered clouds
58,Saint-Louis,SN,16.3333,-15.0,101.84,11,67,10.67,broken clouds
59,Hovd,MN,48.0056,91.6419,29.41,32,0,0.58,clear sky
60,Codrington,AU,-38.2667,141.9667,58.84,58,79,14.56,broken clouds
61,Puerto Ayora,EC,-0.7393,-90.3518,80.56,77,94,5.66,moderate rain
62,Port Elizabeth,ZA,-33.918,25.5701,67.1,83,100,9.22,overcast clouds
63,Punta Umbria,ES,37.1821,-6.9661,65.23,41,53,21.25,broken clouds
64,Sechura,PE,-5.5569,-80.8222,84.33,55,72,9.73,broken clouds
65,Riyadh,SA,24.6877,46.7219,84.34,10,0,5.19,clear sky
66,Flinders,AU,-34.5833,150.8552,58.17,89,100,8.99,light rain
67,Georgetown,MY,5.4112,100.3354,80.53,98,20,5.01,few clouds
68,Bafq,IR,31.6128,55.4107,70.36,9,0,4.81,clear sky
69,Cabo San Lucas,MX,22.8909,-109.9124,81.61,53,88,3.0,overcast clouds
70,Yar-Sale,RU,66.8333,70.8333,15.84,78,100,20.45,overcast clouds
71,Kaeo,NZ,-35.1,173.7833,60.33,96,54,2.3,broken clouds
72,Dikson,RU,73.5069,80.5464,7.38,96,53,8.01,broken clouds
73,Bowen,AU,-20.0167,148.2333,72.79,74,4,3.69,clear sky
74,Kupang,ID,-10.1667,123.5833,76.3,84,6,6.4,clear sky
75,Rafraf,TN,37.1904,10.1837,61.11,83,54,16.8,broken clouds
76,Inirida,CO,3.8653,-67.9239,91.67,47,67,4.27,broken clouds
77,Baijiantan,CN,45.6333,85.1833,45.68,42,4,8.39,clear sky
78,Shahkot,IN,31.0775,75.3372,75.42,12,0,8.77,clear sky
79,Butaritari,KI,3.0707,172.7902,80.71,80,62,13.51,broken clouds
80,Tucumcari,US,35.1717,-103.725,53.94,47,0,17.27,clear sky
81,Klaksvik,FO,62.2266,-6.589,38.32,88,100,4.56,overcast clouds
82,Praia,CV,14.9215,-23.5087,79.34,53,0,20.71,clear sky
83,Morbegno,IT,46.1383,9.57,57.07,94,99,2.8,overcast clouds
84,Oistins,BB,13.0667,-59.5333,84.29,65,20,21.85,few clouds
85,Severo-Kurilsk,RU,50.6789,156.125,29.16,87,94,17.31,light snow
86,Fukue,JP,32.6881,128.8419,55.33,75,100,24.56,overcast clouds
87,Santa Vitoria,BR,-18.8386,-50.1214,88.09,44,9,1.12,clear sky
88,Punta Arenas,CL,-53.15,-70.9167,53.71,47,75,24.16,broken clouds
89,Airai,TL,-8.9266,125.4092,56.95,85,8,2.01,clear sky
