City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-03-21 22:21:24,-23.1203,-134.9692,79.88,68,3,15.48
1,Ahipara,NZ,2022-03-21 22:21:24,-35.1667,173.1667,71.56,80,5,11.12
2,Ushuaia,AR,2022-03-21 22:21:25,-54.8,-68.3,55.06,54,75,12.66
3,Mataura,NZ,2022-03-21 22:21:25,-46.1927,168.8643,66.6,65,46,7.38
4,Bethel,US,2022-03-21 22:21:25,41.3712,-73.414,58.77,38,69,5.99
5,Punta Arenas,CL,2022-03-21 22:19:34,-53.15,-70.9167,55.51,62,40,26.46
6,Klaksvik,FO,2022-03-21 22:21:26,62.2266,-6.589,43.72,86,49,19.28
7,Hermanus,ZA,2022-03-21 22:21:26,-34.4187,19.2345,69.8,86,4,11.14
8,Abu Kamal,SY,2022-03-21 22:21:27,34.4506,40.9171,46.81,59,93,1.23
9,Pangnirtung,CA,2022-03-21 22:21:27,66.1451,-65.7125,-5.8,71,100,4.61
10,Atuona,PF,2022-03-21 22:21:27,-9.8,-139.0333,78.67,79,89,15.21
11,Fort Nelson,CA,2022-03-21 22:21:28,58.8053,-122.7002,27.99,50,75,0.0
12,Kaitangata,NZ,2022-03-21 22:21:28,-46.2817,169.8464,61.65,83,93,12.33
13,Guerrero Negro,MX,2022-03-21 22:21:28,27.9769,-114.0611,65.1,58,1,17.02
14,Erdenet,MN,2022-03-21 22:21:29,49.0333,104.0833,17.19,48,0,4.09
15,Saskylakh,RU,2022-03-21 22:21:29,71.9167,114.0833,-2.22,99,100,3.06
16,Albany,US,2022-03-21 22:21:30,42.6001,-73.9662,52.05,37,50,3.0
17,Kailua,US,2022-03-21 22:21:30,21.4022,-157.7394,85.41,65,2,5.01
18,Isangel,VU,2022-03-21 22:21:30,-19.55,169.2667,81.03,82,100,8.9
19,Lazaro Cardenas,MX,2022-03-21 22:17:17,17.9583,-102.2,84.15,42,0,12.44
20,Ust-Nera,RU,2022-03-21 22:21:31,64.5667,143.2,2.97,97,100,7.9
21,Askiz,RU,2022-03-21 22:21:31,53.1319,90.5264,21.69,82,74,4.61
22,Ekhabi,RU,2022-03-21 22:21:32,53.5102,142.9671,10.09,79,7,12.59
23,Tanabe,JP,2022-03-21 22:21:32,33.7333,135.3667,47.93,87,100,1.99
24,Puerto Ayora,EC,2022-03-21 22:21:32,-0.7393,-90.3518,85.96,88,74,5.01
25,Nikolskoye,RU,2022-03-21 22:21:33,59.7035,30.7861,37.29,89,0,6.78
26,Vaini,TO,2022-03-21 22:21:33,-21.2,-175.2,81.68,78,96,15.75
27,Codrington,AU,2022-03-21 22:21:33,-38.2667,141.9667,60.3,88,96,2.82
28,Okhotsk,RU,2022-03-21 22:21:34,59.3833,143.3,16.66,92,100,13.51
29,Severo-Kurilsk,RU,2022-03-21 22:21:34,50.6789,156.125,28.06,67,100,25.86
30,Tasiilaq,GL,2022-03-21 22:21:35,65.6145,-37.6368,5.16,55,0,5.19
31,Aklavik,CA,2022-03-21 22:21:35,68.2191,-135.0107,-1.19,79,100,2.04
32,Barrow,US,2022-03-21 22:20:56,71.2906,-156.7887,-9.38,64,0,8.05
33,Cayenne,GF,2022-03-21 22:21:35,4.9333,-52.3333,80.1,1,100,2.3
34,Port Alfred,ZA,2022-03-21 22:21:36,-33.5906,26.891,72.01,86,0,12.88
35,Carnarvon,AU,2022-03-21 22:21:36,-24.8667,113.6333,73.47,83,99,12.66
36,Bluff,NZ,2022-03-21 22:21:36,-46.6,168.3333,62.58,75,15,8.25
37,Petropavlovsk-Kamchatskiy,RU,2022-03-21 22:21:37,53.0452,158.6483,30.79,47,20,20.13
38,Faya,SA,2022-03-21 22:20:51,18.3851,42.4509,59.11,55,0,4.92
39,Tarko-Sale,RU,2022-03-21 22:21:37,64.9225,77.785,-4.92,97,36,9.89
40,Yulara,AU,2022-03-21 22:21:38,-25.2406,130.9889,67.84,42,1,5.75
41,Hobart,AU,2022-03-21 22:19:37,-42.8794,147.3294,62.46,88,75,6.91
42,Khatanga,RU,2022-03-21 22:21:38,71.9667,102.5,-17.84,99,100,5.1
43,Georgetown,MY,2022-03-21 22:21:31,5.4112,100.3354,78.73,91,20,3.44
44,Cherskiy,RU,2022-03-21 22:21:37,68.75,161.3,21.74,93,99,10.29
45,Sur,OM,2022-03-21 22:21:39,22.5667,59.5289,74.39,44,0,12.21
46,Ndele,CF,2022-03-21 22:21:39,8.4109,20.6473,79.32,13,16,2.93
47,Formosa,AR,2022-03-21 22:21:39,-26.1775,-58.1781,87.78,51,0,12.66
48,Chuy,UY,2022-03-21 22:22:40,-33.6971,-53.4616,66.16,61,14,15.5
49,Busselton,AU,2022-03-21 22:22:40,-33.65,115.3333,54.34,87,0,10.8
50,Tessalit,ML,2022-03-21 22:22:41,20.1986,1.0114,74.03,12,0,9.66
51,Talnakh,RU,2022-03-21 22:22:41,69.4865,88.3972,-11.79,95,47,1.45
52,Mar Del Plata,AR,2022-03-21 22:18:01,-38.0023,-57.5575,64.09,87,100,40.0
53,Lata,PT,2022-03-21 22:22:41,40.1629,-8.3327,57.07,81,96,2.42
54,Carutapera,BR,2022-03-21 22:22:42,-1.195,-46.02,76.06,92,100,4.12
